age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,event_time
60,retired,married,unknown,no,79,yes,no,unknown,15,may,301,1,-1,0,unknown,no,2026-06-01 00:00:00
55,blue-collar,divorced,primary,no,962,no,yes,telephone,28,jan,88,2,-1,0,unknown,no,2026-06-01 01:00:00
47,technician,married,secondary,no,834,no,yes,cellular,21,nov,902,1,133,2,other,yes,2026-06-01 02:00:00
27,admin.,single,secondary,no,15,no,yes,cellular,21,jul,177,1,-1,0,unknown,no,2026-06-01 03:00:00
28,blue-collar,single,primary,no,426,yes,no,cellular,18,may,953,3,-1,0,unknown,no,2026-06-01 04:00:00
34,management,married,tertiary,no,0,no,no,cellular,22,apr,176,1,-1,0,unknown,no,2026-06-01 05:00:00
54,admin.,married,secondary,no,222,yes,no,unknown,9,may,45,2,-1,0,unknown,no,2026-06-01 06:00:00
49,self-employed,single,tertiary,no,21,yes,no,unknown,14,may,248,1,-1,0,unknown,no,2026-06-01 07:00:00
48,housemaid,divorced,primary,no,26,yes,no,unknown,12,may,311,3,-1,0,unknown,no,2026-06-01 08:00:00
46,blue-collar,single,secondary,no,521,yes,no,cellular,13,may,502,1,-1,0,unknown,no,2026-06-01 09:00:00
48,admin.,divorced,secondary,no,4099,no,no,cellular,2,apr,397,2,-1,0,unknown,yes,2026-06-01 10:00:00
35,admin.,married,secondary,no,2278,yes,no,cellular,21,jul,195,1,-1,0,unknown,no,2026-06-01 11:00:00
28,services,single,secondary,no,230,yes,yes,cellular,17,apr,181,2,-1,0,unknown,no,2026-06-01 12:00:00
42,admin.,married,secondary,no,1279,yes,no,cellular,17,jul,50,1,-1,0,unknown,no,2026-06-01 13:00:00
24,blue-collar,single,secondary,no,6,yes,no,cellular,18,may,16,10,-1,0,unknown,no,2026-06-01 14:00:00
47,unemployed,single,tertiary,no,2500,no,no,cellular,30,jan,240,1,-1,0,unknown,no,2026-06-01 15:00:00
44,management,single,tertiary,yes,12,yes,no,cellular,19,nov,126,2,-1,0,unknown,no,2026-06-01 16:00:00
55,retired,married,secondary,no,6690,no,no,cellular,30,apr,534,1,-1,0,unknown,no,2026-06-01 17:00:00
56,blue-collar,divorced,unknown,no,1363,no,no,unknown,23,jun,54,3,-1,0,unknown,no,2026-06-01 18:00:00
54,management,divorced,tertiary,no,-449,yes,no,cellular,14,may,691,1,-1,0,unknown,yes,2026-06-01 19:00:00
26,blue-collar,single,secondary,no,184,no,no,cellular,3,feb,110,2,6,1,other,no,2026-06-01 20:00:00
51,management,married,tertiary,no,307,no,no,cellular,21,aug,244,6,-1,0,unknown,no,2026-06-01 21:00:00
37,management,single,secondary,no,1981,no,no,cellular,10,jul,140,2,-1,0,unknown,no,2026-06-01 22:00:00
30,admin.,single,secondary,no,3156,no,no,cellular,2,feb,170,1,-1,0,unknown,no,2026-06-01 23:00:00
31,management,divorced,tertiary,no,254,no,no,cellular,18,aug,1576,8,-1,0,unknown,yes,2026-06-02 00:00:00
60,admin.,divorced,secondary,no,174,yes,no,cellular,15,may,241,1,364,1,failure,no,2026-06-02 01:00:00
65,retired,married,primary,no,493,no,no,cellular,2,feb,348,1,109,2,failure,no,2026-06-02 02:00:00
33,blue-collar,married,secondary,no,1138,yes,yes,unknown,23,may,509,1,-1,0,unknown,no,2026-06-02 03:00:00
53,entrepreneur,married,tertiary,no,2289,yes,yes,cellular,17,nov,183,1,-1,0,unknown,no,2026-06-02 04:00:00
29,blue-collar,single,secondary,no,2806,no,no,cellular,15,oct,294,1,93,5,other,no,2026-06-02 05:00:00
58,retired,married,tertiary,no,44,yes,no,unknown,8,may,12,2,-1,0,unknown,no,2026-06-02 06:00:00
40,self-employed,married,primary,no,42,no,no,cellular,11,jul,264,3,-1,0,unknown,no,2026-06-02 07:00:00
74,retired,married,tertiary,no,6027,no,no,cellular,14,aug,233,2,-1,0,unknown,no,2026-06-02 08:00:00
48,technician,single,secondary,no,-92,yes,no,cellular,3,feb,1393,1,-1,0,unknown,yes,2026-06-02 09:00:00
32,technician,married,secondary,no,4133,no,no,cellular,19,aug,175,6,-1,0,unknown,no,2026-06-02 10:00:00
52,technician,married,secondary,no,1697,no,yes,cellular,27,aug,549,4,-1,0,unknown,no,2026-06-02 11:00:00
39,blue-collar,married,secondary,no,49,yes,no,cellular,14,may,566,1,370,2,failure,no,2026-06-02 12:00:00
29,blue-collar,married,secondary,no,294,yes,no,unknown,14,may,594,2,-1,0,unknown,no,2026-06-02 13:00:00
36,blue-collar,married,secondary,no,1949,yes,no,cellular,17,apr,48,2,319,3,failure,no,2026-06-02 14:00:00
58,unemployed,married,tertiary,no,1798,yes,no,cellular,5,feb,19,8,-1,0,unknown,no,2026-06-02 15:00:00
30,technician,single,tertiary,no,1323,yes,no,cellular,15,may,223,1,-1,0,unknown,no,2026-06-02 16:00:00
25,blue-collar,single,unknown,no,431,yes,no,cellular,16,apr,493,1,317,12,failure,no,2026-06-02 17:00:00
32,services,divorced,secondary,no,41,yes,no,cellular,3,feb,251,4,187,11,other,no,2026-06-02 18:00:00
31,management,single,tertiary,no,78,yes,no,cellular,22,jul,369,2,-1,0,unknown,no,2026-06-02 19:00:00
32,blue-collar,married,secondary,no,598,yes,no,unknown,16,jun,179,2,-1,0,unknown,no,2026-06-02 20:00:00
38,housemaid,divorced,secondary,no,216,no,no,cellular,7,jul,97,3,-1,0,unknown,no,2026-06-02 21:00:00
32,blue-collar,single,secondary,no,1721,yes,no,cellular,19,nov,184,2,182,2,failure,no,2026-06-02 22:00:00
21,management,single,tertiary,no,243,no,yes,cellular,17,jun,181,2,-1,0,unknown,no,2026-06-02 23:00:00
45,management,divorced,tertiary,no,1,no,no,cellular,6,aug,490,2,-1,0,unknown,yes,2026-06-03 00:00:00
38,blue-collar,married,secondary,no,452,yes,no,cellular,9,feb,69,4,-1,0,unknown,no,2026-06-03 01:00:00
27,admin.,single,secondary,no,181,yes,no,unknown,8,may,231,2,-1,0,unknown,no,2026-06-03 02:00:00
36,management,married,tertiary,no,549,yes,no,cellular,18,nov,72,2,-1,0,unknown,no,2026-06-03 03:00:00
33,admin.,single,secondary,no,1613,yes,no,unknown,14,may,565,1,-1,0,unknown,no,2026-06-03 04:00:00
32,services,married,secondary,no,207,yes,no,unknown,23,may,360,1,-1,0,unknown,no,2026-06-03 05:00:00
35,technician,single,secondary,no,-54,yes,no,unknown,30,may,70,2,-1,0,unknown,no,2026-06-03 06:00:00
44,management,married,tertiary,no,70,no,no,cellular,20,aug,165,3,-1,0,unknown,no,2026-06-03 07:00:00
39,management,married,tertiary,no,351,yes,no,unknown,20,may,999,3,-1,0,unknown,no,2026-06-03 08:00:00
33,admin.,divorced,secondary,no,1762,yes,no,cellular,19,nov,146,2,-1,0,unknown,no,2026-06-03 09:00:00
32,management,single,tertiary,no,0,yes,no,cellular,30,apr,370,3,-1,0,unknown,yes,2026-06-03 10:00:00
53,management,divorced,tertiary,no,93,no,no,cellular,30,jul,219,2,-1,0,unknown,no,2026-06-03 11:00:00
35,blue-collar,married,primary,no,-167,yes,no,cellular,15,may,195,3,359,1,failure,no,2026-06-03 12:00:00
29,blue-collar,divorced,secondary,no,0,yes,no,unknown,25,jun,281,3,-1,0,unknown,no,2026-06-03 13:00:00
