age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,event_time
33,blue-collar,married,secondary,no,1134,yes,no,unknown,23,may,304,2,-1,0,unknown,no,2024-09-09 00:00:00
37,services,married,secondary,no,1325,no,no,unknown,3,jun,72,3,-1,0,unknown,no,2024-09-09 01:00:00
50,admin.,divorced,secondary,no,3240,no,no,cellular,21,nov,144,2,-1,0,unknown,no,2024-09-09 02:00:00
30,admin.,single,secondary,no,3068,yes,no,cellular,18,may,227,2,-1,0,unknown,no,2024-09-09 03:00:00
57,blue-collar,married,primary,no,12048,yes,no,cellular,15,apr,103,2,-1,0,unknown,no,2024-09-09 04:00:00
27,unemployed,single,secondary,no,259,yes,no,cellular,18,may,12,2,-1,0,unknown,no,2024-09-09 05:00:00
47,technician,divorced,secondary,no,1013,no,no,cellular,15,sep,170,1,92,3,failure,yes,2024-09-09 06:00:00
36,technician,married,secondary,no,129,yes,no,cellular,6,aug,64,2,-1,0,unknown,no,2024-09-09 07:00:00
48,blue-collar,married,secondary,no,-404,yes,no,cellular,31,jul,130,3,-1,0,unknown,no,2024-09-09 08:00:00
36,technician,married,secondary,no,186,yes,no,cellular,12,may,187,3,-1,0,unknown,no,2024-09-09 09:00:00
30,management,single,secondary,no,1913,no,no,cellular,12,aug,250,2,-1,0,unknown,no,2024-09-09 10:00:00
25,student,single,secondary,no,1116,yes,no,cellular,1,jun,119,1,20,5,failure,no,2024-09-09 11:00:00
43,management,married,tertiary,no,938,yes,no,cellular,9,feb,71,2,-1,0,unknown,no,2024-09-09 12:00:00
46,services,married,secondary,no,111,no,no,cellular,13,aug,78,2,-1,0,unknown,no,2024-09-09 13:00:00
38,blue-collar,married,secondary,no,84,no,yes,telephone,11,jul,328,2,-1,0,unknown,no,2024-09-09 14:00:00
55,blue-collar,married,primary,no,396,no,no,cellular,22,aug,74,2,-1,0,unknown,no,2024-09-09 15:00:00
35,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no,2024-09-09 16:00:00
50,unemployed,married,secondary,no,306,yes,no,unknown,4,jun,117,1,-1,0,unknown,no,2024-09-09 17:00:00
59,housemaid,married,tertiary,no,0,no,no,telephone,13,nov,494,1,-1,0,unknown,yes,2024-09-09 18:00:00
33,self-employed,single,secondary,no,238,yes,yes,cellular,5,feb,45,5,-1,0,unknown,no,2024-09-09 19:00:00
