age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,event_time
32,services,married,secondary,no,3839,yes,no,cellular,18,nov,100,2,189,1,failure,no,2025-01-13 00:00:00
39,admin.,married,secondary,no,350,yes,no,telephone,14,jul,109,6,-1,0,unknown,no,2025-01-13 01:00:00
31,blue-collar,single,primary,no,2369,yes,yes,cellular,20,nov,470,2,-1,0,unknown,no,2025-01-13 02:00:00
32,services,married,tertiary,no,0,no,no,cellular,21,nov,80,1,-1,0,unknown,no,2025-01-13 03:00:00
37,unknown,married,unknown,no,1699,no,no,unknown,9,jun,63,1,-1,0,unknown,no,2025-01-13 04:00:00
60,management,divorced,tertiary,no,581,yes,no,cellular,8,aug,89,2,-1,0,unknown,no,2025-01-13 05:00:00
55,self-employed,married,secondary,no,-196,yes,no,unknown,20,may,210,2,-1,0,unknown,no,2025-01-13 06:00:00
29,blue-collar,married,secondary,no,-95,yes,no,cellular,18,may,164,1,370,1,failure,no,2025-01-13 07:00:00
52,blue-collar,married,secondary,no,1027,no,no,cellular,23,jul,59,1,-1,0,unknown,no,2025-01-13 08:00:00
31,technician,divorced,secondary,no,202,yes,no,cellular,18,jul,146,1,-1,0,unknown,no,2025-01-13 09:00:00
51,entrepreneur,married,tertiary,no,3,no,no,cellular,19,nov,276,2,-1,0,unknown,no,2025-01-13 10:00:00
30,technician,single,tertiary,no,6683,no,no,cellular,30,jan,180,1,-1,0,unknown,no,2025-01-13 11:00:00
60,blue-collar,married,primary,no,5,no,no,cellular,4,may,494,1,95,2,success,yes,2025-01-13 12:00:00
34,unemployed,single,primary,no,451,no,no,cellular,29,jan,157,1,-1,0,unknown,no,2025-01-13 13:00:00
55,services,divorced,secondary,no,935,no,no,cellular,14,jul,65,2,-1,0,unknown,no,2025-01-13 14:00:00
33,technician,married,tertiary,no,145,yes,no,cellular,20,nov,262,3,-1,0,unknown,no,2025-01-13 15:00:00
49,services,married,secondary,no,2416,yes,no,cellular,16,apr,1366,1,-1,0,unknown,yes,2025-01-13 16:00:00
46,services,divorced,secondary,no,348,yes,no,cellular,20,apr,323,1,-1,0,unknown,no,2025-01-13 17:00:00
50,management,married,tertiary,no,0,no,no,unknown,20,jun,26,4,-1,0,unknown,no,2025-01-13 18:00:00
31,student,married,primary,no,46,yes,no,cellular,10,jul,487,1,-1,0,unknown,yes,2025-01-13 19:00:00
46,management,divorced,tertiary,no,302,no,no,cellular,18,aug,80,13,-1,0,unknown,no,2025-01-13 20:00:00
50,management,married,tertiary,no,0,no,no,unknown,6,may,326,1,-1,0,unknown,no,2025-01-13 21:00:00
19,student,single,secondary,no,329,no,no,cellular,30,apr,169,1,190,2,success,yes,2025-01-13 22:00:00
29,technician,single,secondary,no,142,yes,yes,unknown,20,jun,312,2,-1,0,unknown,no,2025-01-13 23:00:00
26,management,single,tertiary,no,0,no,yes,cellular,2,feb,145,1,199,1,failure,no,2025-01-14 00:00:00
30,management,single,tertiary,no,317,no,no,cellular,12,aug,134,8,-1,0,unknown,no,2025-01-14 01:00:00
49,entrepreneur,married,secondary,no,89,yes,no,cellular,12,may,351,1,-1,0,unknown,no,2025-01-14 02:00:00
47,management,married,tertiary,no,0,no,no,cellular,27,oct,508,1,-1,0,unknown,yes,2025-01-14 03:00:00
24,services,single,secondary,no,14,yes,no,cellular,7,may,241,1,-1,0,unknown,no,2025-01-14 04:00:00
32,blue-collar,married,primary,no,323,yes,no,unknown,21,may,530,2,-1,0,unknown,no,2025-01-14 05:00:00
47,blue-collar,married,primary,yes,-1385,yes,yes,unknown,15,may,77,1,-1,0,unknown,no,2025-01-14 06:00:00
32,management,married,tertiary,no,71,no,no,cellular,2,feb,75,1,-1,0,unknown,no,2025-01-14 07:00:00
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes,2025-01-14 08:00:00
43,admin.,married,secondary,no,132,no,no,cellular,19,aug,574,1,84,3,success,yes,2025-01-14 09:00:00
35,management,divorced,tertiary,no,3751,yes,no,cellular,16,apr,75,2,-1,0,unknown,no,2025-01-14 10:00:00
31,entrepreneur,single,secondary,no,131,yes,no,cellular,21,jul,157,1,-1,0,unknown,no,2025-01-14 11:00:00
29,management,married,tertiary,no,0,yes,no,cellular,6,may,667,2,-1,0,unknown,yes,2025-01-14 12:00:00
31,services,married,secondary,no,490,yes,no,cellular,21,nov,394,5,179,2,other,no,2025-01-14 13:00:00
36,technician,single,secondary,no,1102,no,no,telephone,6,feb,236,4,-1,0,unknown,no,2025-01-14 14:00:00
