age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,event_time
65,retired,divorced,primary,no,1840,no,no,cellular,1,sep,191,2,92,7,failure,no,2024-05-06 00:00:00
45,management,married,tertiary,no,0,no,no,cellular,21,aug,144,2,-1,0,unknown,no,2024-05-06 01:00:00
37,technician,single,secondary,no,255,no,no,unknown,5,jun,447,2,-1,0,unknown,no,2024-05-06 02:00:00
33,management,married,tertiary,no,3401,no,no,cellular,20,nov,253,1,-1,0,unknown,yes,2024-05-06 03:00:00
50,blue-collar,married,primary,no,-454,yes,no,telephone,25,jul,241,1,-1,0,unknown,no,2024-05-06 04:00:00
28,management,single,tertiary,no,334,yes,no,unknown,14,may,438,4,-1,0,unknown,no,2024-05-06 05:00:00
41,self-employed,married,secondary,no,0,no,no,cellular,8,aug,197,2,-1,0,unknown,no,2024-05-06 06:00:00
66,retired,married,tertiary,no,3,no,no,cellular,6,aug,550,1,-1,0,unknown,yes,2024-05-06 07:00:00
30,admin.,single,tertiary,no,311,no,no,cellular,31,mar,158,2,-1,0,unknown,yes,2024-05-06 08:00:00
31,student,single,tertiary,no,744,no,no,cellular,20,aug,124,3,-1,0,unknown,no,2024-05-06 09:00:00
52,blue-collar,married,unknown,no,51,no,no,cellular,14,aug,935,2,-1,0,unknown,no,2024-05-06 10:00:00
36,blue-collar,married,secondary,no,1790,yes,no,cellular,16,apr,386,2,-1,0,unknown,no,2024-05-06 11:00:00
53,services,married,secondary,no,658,no,no,cellular,28,aug,18,25,-1,0,unknown,no,2024-05-06 12:00:00
44,services,married,primary,no,440,no,yes,telephone,22,jul,249,21,-1,0,unknown,no,2024-05-06 13:00:00
34,management,married,tertiary,no,402,yes,no,unknown,13,may,813,2,-1,0,unknown,no,2024-05-06 14:00:00
35,admin.,single,secondary,no,91,yes,no,unknown,23,may,185,4,-1,0,unknown,no,2024-05-06 15:00:00
39,technician,married,secondary,no,0,no,no,cellular,20,aug,327,3,-1,0,unknown,no,2024-05-06 16:00:00
31,blue-collar,single,secondary,no,239,yes,no,cellular,18,may,666,1,360,1,success,yes,2024-05-06 17:00:00
37,blue-collar,divorced,secondary,no,0,yes,no,cellular,21,apr,146,4,-1,0,unknown,yes,2024-05-06 18:00:00
39,blue-collar,married,secondary,no,472,yes,no,cellular,29,jan,612,5,-1,0,unknown,no,2024-05-06 19:00:00
40,management,married,tertiary,no,713,no,no,cellular,6,aug,433,3,-1,0,unknown,no,2024-05-06 20:00:00
32,management,married,tertiary,no,2431,no,no,cellular,28,aug,19,19,-1,0,unknown,no,2024-05-06 21:00:00
43,technician,married,secondary,no,2344,yes,no,unknown,27,may,111,2,-1,0,unknown,no,2024-05-06 22:00:00
30,technician,single,tertiary,no,4459,no,no,cellular,11,aug,149,2,-1,0,unknown,no,2024-05-06 23:00:00
39,technician,married,secondary,no,3528,yes,no,unknown,21,may,226,1,-1,0,unknown,no,2024-05-07 00:00:00
25,services,single,secondary,no,801,no,no,cellular,5,jun,255,2,-1,0,unknown,yes,2024-05-07 01:00:00
35,services,divorced,secondary,no,0,yes,yes,cellular,12,may,95,4,357,1,failure,no,2024-05-07 02:00:00
64,retired,divorced,tertiary,no,17875,no,no,cellular,25,aug,173,1,-1,0,unknown,no,2024-05-07 03:00:00
42,management,married,tertiary,no,344,yes,yes,unknown,4,jun,66,2,-1,0,unknown,no,2024-05-07 04:00:00
33,admin.,married,secondary,no,920,no,no,cellular,13,aug,111,1,105,1,success,no,2024-05-07 05:00:00
40,blue-collar,married,primary,no,309,yes,no,cellular,14,may,221,2,-1,0,unknown,no,2024-05-07 06:00:00
19,student,single,primary,no,103,no,no,cellular,15,oct,96,2,97,2,success,no,2024-05-07 07:00:00
50,management,married,secondary,no,0,yes,no,cellular,20,nov,152,1,190,1,failure,no,2024-05-07 08:00:00
57,blue-collar,married,secondary,no,-898,yes,yes,cellular,21,jul,322,3,-1,0,unknown,no,2024-05-07 09:00:00
38,admin.,divorced,secondary,no,1533,yes,no,cellular,12,may,366,1,172,4,success,no,2024-05-07 10:00:00
39,management,married,tertiary,no,13021,no,no,cellular,5,aug,425,2,-1,0,unknown,no,2024-05-07 11:00:00
23,admin.,single,secondary,no,21,yes,yes,cellular,14,may,183,3,-1,0,unknown,no,2024-05-07 12:00:00
39,blue-collar,single,primary,no,-491,no,yes,unknown,5,jun,179,1,-1,0,unknown,no,2024-05-07 13:00:00
39,blue-collar,married,secondary,no,8,no,no,cellular,30,jul,88,3,-1,0,unknown,no,2024-05-07 14:00:00
33,blue-collar,single,secondary,no,2668,yes,no,cellular,18,jul,187,1,-1,0,unknown,no,2024-05-07 15:00:00
29,admin.,married,secondary,no,6429,yes,yes,cellular,14,may,535,1,352,2,failure,no,2024-05-07 16:00:00
33,services,single,secondary,no,1852,no,no,telephone,25,feb,371,1,204,3,other,no,2024-05-07 17:00:00
55,retired,married,secondary,no,159,no,no,cellular,28,aug,159,1,-1,0,unknown,no,2024-05-07 18:00:00
40,blue-collar,married,primary,no,1802,yes,no,cellular,17,apr,326,1,319,1,failure,no,2024-05-07 19:00:00
33,technician,married,secondary,no,6419,no,no,cellular,7,aug,419,3,-1,0,unknown,no,2024-05-07 20:00:00
31,admin.,divorced,tertiary,no,-2,yes,no,cellular,19,nov,300,1,-1,0,unknown,no,2024-05-07 21:00:00
37,management,married,secondary,no,80,no,no,cellular,27,aug,155,3,-1,0,unknown,no,2024-05-07 22:00:00
30,management,divorced,secondary,no,-274,yes,yes,cellular,19,aug,166,2,-1,0,unknown,no,2024-05-07 23:00:00
53,management,divorced,primary,no,-17,yes,yes,cellular,18,jul,508,1,-1,0,unknown,no,2024-05-08 00:00:00
32,technician,married,secondary,no,11431,no,no,cellular,12,aug,141,5,-1,0,unknown,no,2024-05-08 01:00:00
43,management,single,tertiary,no,2081,no,no,cellular,22,oct,554,3,-1,0,unknown,yes,2024-05-08 02:00:00
32,management,married,tertiary,no,2218,yes,no,cellular,6,may,37,2,-1,0,unknown,no,2024-05-08 03:00:00
47,blue-collar,divorced,secondary,yes,-535,yes,no,cellular,30,jul,71,2,-1,0,unknown,no,2024-05-08 04:00:00
34,technician,single,tertiary,no,2658,yes,no,cellular,31,mar,265,1,230,2,failure,no,2024-05-08 05:00:00
55,technician,single,secondary,no,2043,yes,no,cellular,18,nov,655,1,-1,0,unknown,no,2024-05-08 06:00:00
32,technician,single,tertiary,no,6746,no,no,cellular,11,nov,199,1,-1,0,unknown,yes,2024-05-08 07:00:00
53,retired,married,secondary,no,303,yes,no,unknown,6,may,593,2,-1,0,unknown,no,2024-05-08 08:00:00
46,self-employed,married,primary,no,3155,yes,no,cellular,21,nov,271,1,-1,0,unknown,no,2024-05-08 09:00:00
29,admin.,married,secondary,no,182,yes,yes,unknown,6,may,477,1,-1,0,unknown,no,2024-05-08 10:00:00
30,technician,married,secondary,no,450,no,yes,cellular,14,jul,72,4,-1,0,unknown,no,2024-05-08 11:00:00
58,self-employed,married,primary,no,728,no,no,unknown,20,jun,112,4,-1,0,unknown,no,2024-05-08 12:00:00
36,blue-collar,married,primary,no,356,yes,yes,cellular,12,may,692,4,172,4,other,no,2024-05-08 13:00:00
