age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,event_time
53,unemployed,married,unknown,no,13,no,no,unknown,5,may,410,3,-1,0,unknown,no,2024-01-01 00:00:00
54,technician,married,secondary,no,0,no,no,telephone,30,apr,766,3,84,3,success,yes,2024-01-01 01:00:00
30,self-employed,single,secondary,no,280,no,no,telephone,5,may,92,3,-1,0,unknown,no,2024-01-01 02:00:00
50,self-employed,married,unknown,no,-84,yes,no,unknown,6,may,101,1,-1,0,unknown,no,2024-01-01 03:00:00
60,self-employed,married,secondary,no,1690,no,no,cellular,28,aug,64,11,-1,0,unknown,no,2024-01-01 04:00:00
30,management,married,tertiary,no,1384,yes,no,telephone,14,aug,60,2,-1,0,unknown,no,2024-01-01 05:00:00
32,technician,single,tertiary,no,0,no,no,cellular,21,aug,660,2,-1,0,unknown,no,2024-01-01 06:00:00
49,services,divorced,secondary,no,3250,no,no,unknown,16,jun,32,3,-1,0,unknown,no,2024-01-01 07:00:00
50,entrepreneur,married,primary,no,199,no,no,cellular,11,may,228,2,363,2,failure,no,2024-01-01 08:00:00
38,unemployed,married,tertiary,no,2012,no,no,cellular,7,apr,355,3,-1,0,unknown,no,2024-01-01 09:00:00
42,management,married,tertiary,no,0,yes,no,unknown,20,jun,34,3,-1,0,unknown,no,2024-01-01 10:00:00
34,technician,married,secondary,no,209,yes,yes,cellular,8,apr,375,2,-1,0,unknown,no,2024-01-01 11:00:00
36,services,divorced,secondary,yes,0,no,yes,cellular,15,jul,687,7,-1,0,unknown,yes,2024-01-01 12:00:00
46,blue-collar,married,secondary,no,-3,yes,no,cellular,29,jan,79,2,265,2,failure,no,2024-01-01 13:00:00
44,technician,single,secondary,no,696,yes,no,unknown,16,may,680,3,-1,0,unknown,no,2024-01-01 14:00:00
42,blue-collar,married,primary,no,659,yes,no,cellular,11,may,91,1,-1,0,unknown,no,2024-01-01 15:00:00
37,management,single,tertiary,no,0,no,no,cellular,20,aug,225,5,-1,0,unknown,no,2024-01-01 16:00:00
44,technician,married,secondary,no,3790,yes,no,unknown,13,may,342,2,-1,0,unknown,no,2024-01-01 17:00:00
33,services,divorced,secondary,no,1117,no,no,cellular,2,jun,417,1,-1,0,unknown,yes,2024-01-01 18:00:00
34,self-employed,married,tertiary,no,0,no,no,cellular,12,aug,117,4,-1,0,unknown,no,2024-01-01 19:00:00
