age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,event_time
39,blue-collar,married,secondary,no,535,yes,no,cellular,20,apr,89,3,-1,0,unknown,no,2027-02-08 00:00:00
33,management,married,tertiary,no,0,yes,no,cellular,9,mar,305,1,326,1,success,yes,2027-02-08 01:00:00
46,management,divorced,tertiary,no,4629,no,no,cellular,1,jun,67,1,41,1,failure,no,2027-02-08 02:00:00
52,services,married,secondary,no,91,yes,no,unknown,5,jun,175,4,-1,0,unknown,no,2027-02-08 03:00:00
36,housemaid,married,primary,no,78,yes,no,telephone,30,jul,2692,9,-1,0,unknown,yes,2027-02-08 04:00:00
37,housemaid,married,secondary,no,285,no,no,unknown,16,jun,401,2,-1,0,unknown,no,2027-02-08 05:00:00
37,services,married,secondary,no,655,no,no,cellular,13,may,272,1,342,2,other,no,2027-02-08 06:00:00
40,admin.,married,primary,no,129,yes,no,cellular,12,may,464,3,-1,0,unknown,no,2027-02-08 07:00:00
30,services,single,secondary,no,268,yes,no,cellular,8,may,226,5,-1,0,unknown,no,2027-02-08 08:00:00
28,technician,single,secondary,no,618,yes,no,cellular,7,may,281,1,-1,0,unknown,no,2027-02-08 09:00:00
56,retired,married,secondary,no,364,no,no,cellular,5,aug,105,1,-1,0,unknown,no,2027-02-08 10:00:00
57,management,single,tertiary,no,73,no,no,unknown,12,may,41,1,-1,0,unknown,no,2027-02-08 11:00:00
34,self-employed,single,secondary,no,360,yes,no,cellular,7,dec,371,1,-1,0,unknown,no,2027-02-08 12:00:00
32,admin.,married,secondary,no,269,yes,no,cellular,19,nov,236,1,-1,0,unknown,no,2027-02-08 13:00:00
32,blue-collar,married,secondary,no,231,yes,no,unknown,15,may,51,10,-1,0,unknown,no,2027-02-08 14:00:00
46,technician,divorced,secondary,no,129,no,no,unknown,25,jun,75,2,-1,0,unknown,no,2027-02-08 15:00:00
34,entrepreneur,single,tertiary,no,2856,yes,no,cellular,21,nov,165,2,-1,0,unknown,no,2027-02-08 16:00:00
46,management,divorced,tertiary,no,-130,yes,no,cellular,24,mar,144,2,-1,0,unknown,yes,2027-02-08 17:00:00
58,retired,married,primary,no,196,yes,no,unknown,19,may,35,1,-1,0,unknown,no,2027-02-08 18:00:00
38,management,single,tertiary,no,91,yes,no,unknown,19,may,492,9,-1,0,unknown,no,2027-02-08 19:00:00
60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,yes,2027-02-08 20:00:00
34,entrepreneur,married,tertiary,no,4343,no,no,unknown,9,jun,85,4,-1,0,unknown,no,2027-02-08 21:00:00
