age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,event_time
42,self-employed,divorced,tertiary,no,0,no,no,unknown,11,jun,694,2,-1,0,unknown,no,2025-09-22 00:00:00
31,technician,single,secondary,no,13,no,no,cellular,21,nov,208,1,-1,0,unknown,no,2025-09-22 01:00:00
27,self-employed,single,tertiary,no,1,yes,no,cellular,23,jul,171,4,-1,0,unknown,no,2025-09-22 02:00:00
47,blue-collar,married,primary,no,328,yes,no,cellular,7,may,58,1,-1,0,unknown,no,2025-09-22 03:00:00
37,management,married,tertiary,no,655,no,no,unknown,28,may,244,3,-1,0,unknown,no,2025-09-22 04:00:00
60,retired,married,tertiary,no,2868,no,no,unknown,20,jun,42,7,-1,0,unknown,no,2025-09-22 05:00:00
53,management,married,primary,no,351,yes,no,unknown,27,may,0,4,-1,0,unknown,no,2025-09-22 06:00:00
37,blue-collar,married,primary,no,0,no,no,telephone,11,may,108,2,306,1,failure,no,2025-09-22 07:00:00
54,management,married,tertiary,no,1623,no,no,cellular,31,jul,25,8,-1,0,unknown,no,2025-09-22 08:00:00
37,management,married,tertiary,no,489,yes,no,cellular,7,aug,205,5,-1,0,unknown,no,2025-09-22 09:00:00
28,unemployed,married,secondary,no,687,no,no,cellular,13,jan,113,3,33,2,other,no,2025-09-22 10:00:00
41,management,single,tertiary,no,0,no,no,cellular,7,aug,91,2,-1,0,unknown,no,2025-09-22 11:00:00
47,services,single,secondary,no,897,yes,no,telephone,13,may,48,4,176,2,failure,no,2025-09-22 12:00:00
58,blue-collar,married,secondary,no,2592,yes,no,unknown,25,jun,249,1,-1,0,unknown,no,2025-09-22 13:00:00
42,admin.,single,primary,no,629,yes,no,unknown,29,may,164,3,-1,0,unknown,no,2025-09-22 14:00:00
29,technician,married,secondary,no,444,yes,no,cellular,21,jul,130,4,-1,0,unknown,no,2025-09-22 15:00:00
54,self-employed,married,secondary,no,9,yes,no,cellular,22,jul,113,2,-1,0,unknown,no,2025-09-22 16:00:00
57,retired,divorced,secondary,no,-663,yes,no,cellular,13,may,210,1,351,2,failure,no,2025-09-22 17:00:00
48,housemaid,single,secondary,no,71,no,no,cellular,28,aug,97,3,-1,0,unknown,no,2025-09-22 18:00:00
39,admin.,single,secondary,no,1242,yes,no,unknown,12,may,303,3,-1,0,unknown,no,2025-09-22 19:00:00
30,student,single,secondary,no,2046,no,no,telephone,10,aug,133,1,-1,0,unknown,no,2025-09-22 20:00:00
33,technician,married,secondary,no,-74,yes,no,cellular,25,jul,198,4,-1,0,unknown,no,2025-09-22 21:00:00
51,unknown,divorced,unknown,no,1649,no,no,unknown,5,jun,93,1,-1,0,unknown,no,2025-09-22 22:00:00
35,unemployed,single,tertiary,no,154,no,no,cellular,29,jan,105,2,-1,0,unknown,no,2025-09-22 23:00:00
32,management,single,secondary,no,416,yes,no,cellular,13,may,290,1,176,2,failure,no,2025-09-23 00:00:00
35,blue-collar,married,secondary,no,306,no,no,unknown,20,jun,12,8,-1,0,unknown,no,2025-09-23 01:00:00
35,admin.,married,secondary,no,614,yes,no,cellular,12,may,242,2,-1,0,unknown,no,2025-09-23 02:00:00
