age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,event_time
34,blue-collar,married,primary,no,363,yes,no,cellular,18,may,98,5,-1,0,unknown,no,2025-05-19 00:00:00
34,admin.,married,secondary,no,-314,yes,yes,cellular,20,apr,374,3,307,3,other,no,2025-05-19 01:00:00
30,technician,single,secondary,no,8,no,no,cellular,19,aug,28,17,-1,0,unknown,no,2025-05-19 02:00:00
31,management,single,tertiary,no,630,no,no,cellular,2,feb,70,2,-1,0,unknown,no,2025-05-19 03:00:00
45,blue-collar,married,secondary,no,863,yes,no,cellular,14,apr,565,2,-1,0,unknown,no,2025-05-19 04:00:00
42,services,married,secondary,no,1376,yes,no,cellular,2,jun,271,2,92,4,success,yes,2025-05-19 05:00:00
56,management,divorced,tertiary,no,10532,no,no,cellular,7,aug,324,1,-1,0,unknown,yes,2025-05-19 06:00:00
37,self-employed,single,tertiary,no,984,no,no,unknown,6,jun,334,1,-1,0,unknown,no,2025-05-19 07:00:00
57,retired,married,secondary,no,657,no,no,cellular,5,aug,454,1,-1,0,unknown,no,2025-05-19 08:00:00
33,admin.,married,tertiary,no,882,no,no,telephone,21,oct,39,1,151,3,failure,no,2025-05-19 09:00:00
30,technician,single,secondary,no,167,no,no,cellular,28,aug,35,14,-1,0,unknown,no,2025-05-19 10:00:00
49,unemployed,divorced,secondary,no,66,no,no,cellular,9,jul,218,3,-1,0,unknown,no,2025-05-19 11:00:00
31,services,married,tertiary,yes,-90,no,yes,unknown,1,jul,173,1,-1,0,unknown,no,2025-05-19 12:00:00
59,retired,married,primary,no,-119,yes,no,unknown,6,may,289,1,-1,0,unknown,no,2025-05-19 13:00:00
54,blue-collar,married,secondary,no,898,no,no,telephone,30,jul,641,2,-1,0,unknown,no,2025-05-19 14:00:00
53,technician,married,secondary,no,1319,no,no,unknown,19,jun,1318,3,-1,0,unknown,yes,2025-05-19 15:00:00
45,retired,married,primary,no,0,no,no,unknown,3,jun,290,1,-1,0,unknown,no,2025-05-19 16:00:00
56,technician,divorced,secondary,no,1561,no,no,cellular,13,aug,75,1,-1,0,unknown,no,2025-05-19 17:00:00
53,management,married,tertiary,no,3443,yes,no,unknown,28,may,48,2,-1,0,unknown,no,2025-05-19 18:00:00
42,management,single,tertiary,no,336,yes,no,cellular,2,feb,142,6,195,3,failure,no,2025-05-19 19:00:00
37,management,single,tertiary,no,0,no,no,cellular,26,aug,99,6,-1,0,unknown,no,2025-05-19 20:00:00
30,blue-collar,married,secondary,no,-135,yes,no,cellular,18,may,57,1,-1,0,unknown,no,2025-05-19 21:00:00
52,blue-collar,married,secondary,no,8180,yes,no,cellular,13,apr,81,1,144,1,failure,no,2025-05-19 22:00:00
55,entrepreneur,married,tertiary,no,323,yes,yes,cellular,13,may,200,1,-1,0,unknown,no,2025-05-19 23:00:00
46,management,married,tertiary,no,1600,yes,yes,cellular,11,aug,1244,1,-1,0,unknown,yes,2025-05-20 00:00:00
37,services,single,secondary,no,244,no,no,unknown,5,jun,70,1,-1,0,unknown,no,2025-05-20 01:00:00
37,blue-collar,married,secondary,no,194,yes,no,unknown,12,may,566,7,-1,0,unknown,no,2025-05-20 02:00:00
46,management,married,tertiary,no,1808,no,no,cellular,8,aug,172,2,-1,0,unknown,no,2025-05-20 03:00:00
44,admin.,single,tertiary,no,10,no,no,unknown,1,jul,158,2,-1,0,unknown,no,2025-05-20 04:00:00
40,technician,married,secondary,no,694,yes,no,cellular,10,aug,107,4,68,11,success,no,2025-05-20 05:00:00
36,management,single,tertiary,no,2745,yes,no,cellular,8,aug,306,3,-1,0,unknown,no,2025-05-20 06:00:00
47,blue-collar,married,secondary,no,303,no,no,unknown,11,jun,261,1,-1,0,unknown,no,2025-05-20 07:00:00
41,technician,single,secondary,no,28,no,no,unknown,16,may,51,1,-1,0,unknown,no,2025-05-20 08:00:00
42,self-employed,divorced,tertiary,no,360,yes,no,unknown,24,jun,110,5,-1,0,unknown,no,2025-05-20 09:00:00
37,technician,married,secondary,yes,0,no,yes,cellular,24,jul,101,1,-1,0,unknown,no,2025-05-20 10:00:00
52,blue-collar,single,secondary,no,1541,yes,no,unknown,14,may,243,1,-1,0,unknown,no,2025-05-20 11:00:00
39,management,divorced,tertiary,no,295,no,no,cellular,28,aug,68,2,-1,0,unknown,no,2025-05-20 12:00:00
32,blue-collar,married,secondary,no,22,yes,no,cellular,14,may,145,1,-1,0,unknown,no,2025-05-20 13:00:00
35,management,married,tertiary,no,697,no,no,cellular,5,jun,57,2,304,1,failure,no,2025-05-20 14:00:00
50,admin.,divorced,tertiary,no,66,yes,no,cellular,17,nov,77,2,-1,0,unknown,no,2025-05-20 15:00:00
45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,1,-1,0,unknown,yes,2025-05-20 16:00:00
39,technician,divorced,secondary,no,8,no,no,cellular,29,aug,1028,2,-1,0,unknown,no,2025-05-20 17:00:00
32,management,married,tertiary,no,210,no,no,cellular,14,jul,121,3,-1,0,unknown,no,2025-05-20 18:00:00
19,student,single,secondary,no,526,no,no,cellular,1,jul,174,1,199,3,failure,no,2025-05-20 19:00:00
35,technician,single,secondary,no,450,yes,no,cellular,13,may,63,1,-1,0,unknown,no,2025-05-20 20:00:00
54,management,married,unknown,no,527,yes,no,cellular,30,apr,112,1,281,3,failure,no,2025-05-20 21:00:00
39,management,married,primary,no,551,no,yes,cellular,7,jul,107,5,-1,0,unknown,no,2025-05-20 22:00:00
31,technician,single,secondary,no,279,no,no,cellular,12,aug,213,2,-1,0,unknown,no,2025-05-20 23:00:00
40,management,married,tertiary,no,0,no,no,cellular,18,aug,261,7,-1,0,unknown,no,2025-05-21 00:00:00
31,management,single,tertiary,no,-26,yes,yes,unknown,23,may,448,1,-1,0,unknown,no,2025-05-21 01:00:00
31,services,married,secondary,no,1273,yes,no,unknown,23,may,442,1,-1,0,unknown,no,2025-05-21 02:00:00
43,blue-collar,divorced,secondary,no,-259,no,no,cellular,17,nov,732,1,171,2,other,no,2025-05-21 03:00:00
24,admin.,single,tertiary,no,1141,yes,no,unknown,23,may,230,1,-1,0,unknown,no,2025-05-21 04:00:00
45,technician,divorced,secondary,no,1309,yes,no,cellular,19,nov,298,1,170,2,failure,no,2025-05-21 05:00:00
26,blue-collar,single,secondary,no,0,yes,no,cellular,18,may,82,4,-1,0,unknown,no,2025-05-21 06:00:00
32,management,single,tertiary,no,5276,no,no,cellular,21,nov,299,1,-1,0,unknown,no,2025-05-21 07:00:00
35,blue-collar,married,secondary,no,913,yes,no,cellular,17,apr,738,2,-1,0,unknown,no,2025-05-21 08:00:00
37,services,married,secondary,no,4017,no,no,cellular,30,apr,665,2,196,1,success,yes,2025-05-21 09:00:00
42,retired,married,primary,no,0,yes,no,unknown,8,may,186,2,-1,0,unknown,no,2025-05-21 10:00:00
42,management,divorced,tertiary,no,16,no,no,cellular,19,nov,140,3,-1,0,unknown,no,2025-05-21 11:00:00
